,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Antz (1998),79.0,92%,Antz (1998),93,PG (Mild Language|Menacing Action),"Romance, Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Eric Darnell, Tim Johnson","Brad Lewis, Aron Warner, Patty Wooton","Todd Alcott, Chris Weitz, Paul Weitz","Oct 2, 1998 wide","Jun 7, 2005",$90.7M,1h 27m,DreamWorks SKG,"Surround, Dolby SR, Dolby Digital, DTS, SDDS",Flat (1.85:1),
The LEGO Movie 2: The Second Part (2019),80.0,84%,The LEGO Movie 2: The Second Part (2019),300,PG (Mild Action and Rude Humor),"Animation, Action, Kids & family, Adventure, Comedy",English,Mike Mitchell,"Dan Lin, Phil Lord, Chris Miller, Roy Lee, Jinko Gotoh","Phil Lord, Chris Miller","Feb 8, 2019 wide","May 7, 2019",$105.8M,1h 47m,Warner Bros. Pictures,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),
A Bug's Life (1998),81.0,92%,A Bug's Life (1998),89,G,"Kids & family, Adventure, Comedy, Animation",English,"John Lasseter, Andrew Stanton","Darla K. Anderson, Kevin Reher","John Lasseter, Andrew Stanton, Joe Ranft, Don McEnery, Bob Shaw, Geefwee Boedoe, Jason Katz, Jørgen Klubien, Robert Lence, David Reynolds","Nov 14, 1998 original","Nov 6, 2001",$162.8M,1h 36m,"Buena Vista International [us], Buena Vista Pictures","SDDS, Dolby Digital, DTS, Surround",,Pixar
Mary and Max (2009),82.0,95%,Mary and Max (2009),65,,"Drama, Comedy, Animation",English,Adam Elliot,Melanie Coombs,Adam Elliot,,"Dec 22, 2009",,1h 32m,,,,
Ponyo (2009),83.0,91%,Ponyo (2009),172,G,"Fantasy, Anime, Adventure",Japanese,Hayao Miyazaki,Toshio Suzuki,"Melissa Mathison, Hayao Miyazaki","Aug 14, 2009 wide","Mar 2, 2010",$15.1M,1h 40m,Walt Disney,"Dolby Digital Surround EX, Dolby Digital",Flat (1.85:1),
Klaus (2019),84.0,94%,Klaus (2019),70,PG (Rude Humor and Mild Action),"Animation, Other, Kids & family, Adventure, Comedy",English,Sergio Pablos,"Jinko Gotoh, Sergio Pablos, Matthew Teevan, Mercedes Gamero, Mikel Lejarza, Gustavo Ferrada","Sergio Pablos, Zach Lewis, Jim Mahoney","Nov 8, 2019 limited","Nov 15, 2019",,1h 38m,Netflix,,Flat (1.85:1),
Teen Titans Go! To the Movies (2018),85.0,91%,Teen Titans Go! To the Movies (2018),133,PG (Action and Rude Humor),"Animation, Action, Kids & family, Adventure, Comedy",English,"Peter Rida Michail, Aaron Horvath","Aaron Horvath, Michael Jelenic, Peggy Regan, Peter Rida Michail, Will Arnett","Michael Jelenic, Aaron Horvath","Jul 27, 2018 wide","Oct 30, 2018",$29.6M,1h 27m,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital, DTS, SDDS",Flat (1.85:1),
Bolt (2008),86.0,89%,Bolt (2008),189,PG (Peril|Mild Action),"Kids & family, Adventure, Comedy, Animation",English,"Chris Williams, Byron Howard",Clark Spencer,"Dan Fogelman, Chris Williams","Nov 21, 2008 wide","Mar 22, 2009",$114.1M,1h 36m,Walt Disney,SDDS,Flat (1.85:1),
Tangled (2010),87.0,89%,Tangled (2010),227,PG (Brief Mild Violence),"Musical, Fantasy, Adventure, Animation, Kids & family, Comedy",English,"Nathan Greno, Byron Howard",Roy Conli,Dan Fogelman,"Nov 24, 2010 wide","Mar 29, 2011",$200.8M,1h 41m,Walt Disney,"Dolby Digital, DTS, SDDS",,
Shrek 2 (2004),88.0,89%,Shrek 2 (2004),237,PG (Some Crude Humor|A Brief Substance Reference|Some Suggestive Content),"Kids & family, Comedy, Fantasy, Animation",English,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Aron Warner, David Lipman, John H. Williams","Andrew Adamson, J. David Stem, Joe Stillman, David N. Weiss, William Steig","May 19, 2004 wide","Nov 5, 2004",$436.5M,1h 32m,DreamWorks SKG,"Surround, Dolby SRD, DTS, SDDS",Flat (1.85:1),
ParaNorman (2012),89.0,89%,ParaNorman (2012),186,PG (Scary Action|Language|Scary Images|Some Rude Humor|Thematic Elements),"Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Chris Butler, Sam Fell","Arianne Sutner, Travis Knight",Chris Butler,"Aug 17, 2012 wide","Nov 27, 2012",,1h 36m,Focus Features,"SDDS, Dolby SRD, DTS, Dolby Atmos, Dolby Digital, Dolby SR",Scope (2.35:1),
Frankenweenie (2012),90.0,87%,Frankenweenie (2012),222,PG (Scary Images|Action|Thematic Elements),"Kids & family, Comedy, Animation",English,Tim Burton,"Tim Burton, Allison Abbate",John August,"Oct 5, 2012 wide","Jan 8, 2013",,1h 27m,Walt Disney,"Datasat, Dolby Digital",,
Shrek (2001),91.0,88%,Shrek (2001),210,PG (Some Crude Humor|Mild Language),"Kids & family, Comedy, Fantasy, Animation",English,"Andrew Adamson, Vicky Jenson","Aron Warner, John H. Williams, Jeffrey Katzenberg","Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman, William Steig","May 18, 2001 wide","Aug 19, 2003",$267.7M,1h 29m,DreamWorks SKG,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),
James and the Giant Peach (1996),92.0,91%,James and the Giant Peach (1996),75,PG,"Kids & family, Fantasy, Animation",English,Henry Selick,"Tim Burton, Denise Di Novi","Roald Dahl, Karey Kirkpatrick, Jonathan Roberts, Steve Bloom","Apr 12, 1996 original","Aug 3, 2010",$28.9M,1h 20m,Buena Vista Pictures,Surround,,
Rango (2011),93.0,88%,Rango (2011),222,PG (Language|Action|Rude Humor|Smoking),"Kids & family, Adventure, Comedy, Animation",English,Gore Verbinski,"Gore Verbinski, Graham King, John B. Carls",John Logan,"Mar 4, 2011 wide","Jul 15, 2011",,1h 45m,Paramount Pictures,,,
The Wind Rises (2014),94.0,88%,The Wind Rises (2014),178,PG-13 (Some Disturbing Images|Smoking),"Drama, Biography, History, Anime",Japanese,"Hayao Miyazaki, Gary Rydstrom",Toshio Suzuki,"Hayao Miyazaki, Mike Jones","Feb 28, 2014 wide","Nov 18, 2014",,2h 6m,Walt Disney,,,
Missing Link (2019),95.0,88%,Missing Link (2019),171,PG (Some Mild Rude Humor|Action/Peril),"Kids & family, Adventure, Comedy, Animation",English,Chris Butler,"Arianne Sutner, Travis Knight",Chris Butler,"Apr 12, 2019 wide","Jul 9, 2019",$16.6M,1h 34m,Annapurna Pictures,"Dolby Atmos, Dolby Digital",Scope (2.35:1),
The Simpsons Movie (2007),96.0,87%,The Simpsons Movie (2007),222,PG-13 (Irreverent Humor Throughout),"Comedy, Animation",English,David Silverman,"James L. Brooks, Matt Groening, Al Jean, Mike Scully, Richard Sakai","James L. Brooks, Matt Groening, Al Jean, Mike Scully, Ian Maxtone-Graham, George Meyer, David Mirkin, Mike Reiss, Matt Selman, John Swartzwelder, Jon Vitti","Jul 27, 2007 wide","Dec 18, 2007",$183.1M,1h 26m,20th Century Fox,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
Boy and the World (O Menino e o Mundo) (2015),97.0,93%,Boy and the World (O Menino e o Mundo) (2015),58,PG (Thematic Material and Images),"Kids & family, Adventure, Animation",Portuguese (Brazil),Alê Abreu,"Fernanda Carvalho, Tita Tessler",,"Dec 11, 2015 limited","Jul 5, 2016",$47.6K,1h 20m,GKIDS,,,
The Peanuts Movie (2015),98.0,87%,The Peanuts Movie (2015),197,G,"Kids & family, Adventure, Comedy, Animation",English,Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano, Paul Feig, Michael J. Travers","Craig Schulz, Bryan Schulz, Cornelius Uliano","Nov 6, 2015 wide","Mar 8, 2016",$130.1M,1h 29m,20th Century Fox,Dolby Atmos,Flat (1.85:1),
When Marnie Was There (2015),99.0,91%,When Marnie Was There (2015),100,PG (Thematic Elements|Smoking),"Drama, Fantasy, Mystery & thriller, Anime, Kids & family",Japanese,Hiromasa Yonebayashi,"Yoshiaki Nishimura, Koji Hoshino","Hiromasa Yonebayashi, Keiko Niwa, Masashi Ando","May 22, 2015 limited","Oct 6, 2015",$314.3K,1h 43m,GKIDS,,,
Millennium Actress (Sennen joyû) (2001),100.0,93%,Millennium Actress (Sennen joyû) (2001),57,PG (Brief Mild Language|Violence|Thematic Elements),"Drama, Anime, Fantasy",Japanese,Satoshi Kon,Taro Maki,"Satoshi Kon, Sadayuki Murai","Sep 12, 2003 wide","Oct 28, 2003",$37.3K,1h 27m,DreamWorks SKG,Dolby Digital,Flat (1.85:1),
