,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Athlete A (2020),45.0,100%,Athlete A (2020),57,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,"Bonni Cohen, Jon Shenk","Serin Marshall, Jen Sey, Julie Parker Benello",,,"Jun 25, 2020",,1h 43m,,,,
One Child Nation (2019),46.0,98%,One Child Nation (2019),101,R (Brief Language|Some Disturbing Content/Images),Documentary,English,"Nanfu Wang, Jialing Zhang","Christopher Clements, Julie Goldman, Carolyn Hepburn, Christoph Jörg",,"Aug 9, 2019 limited","Nov 8, 2019",$151.7K,1h 25m,Amazon Studios,Dolby Digital,Flat (1.85:1),
Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),47.0,100%,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),57,,Documentary,English,"Alexis Bloom, Fisher Stevens","Alexis Bloom, Todd Fisher, Julie Nives",,,"Feb 3, 2017",,1h 35m,,,,
Waltz with Bashir (2008),48.0,96%,Waltz with Bashir (2008),153,R (Dist. Images of Atrocities|Brief Nudity|Graphic Sexual Violence|Strong Violence),"Documentary, Animation",Hebrew,Ari Folman,"Ari Folman, Serge Lalou, Gerhard Meixner, Roman Paul",Ari Folman,"Dec 25, 2008 limited","Jun 23, 2009",$2.3M,1h 30m,Sony Pictures Classics,,,
Hoop Dreams (1994),49.0,98%,Hoop Dreams (1994),60,PG-13,"Drama, Documentary",English,Steve James,"Peter Gilbert, Steve James, Frederick Marx","Steve James, Frederick Marx","Oct 14, 1994 wide","May 10, 2005",$7.8M,2h 54m,"New Line Home Video [us], Fine Line Features",Stereo,,
A Secret Love (2020),50.0,100%,A Secret Love (2020),54,,"Drama, Lgbtq+, Documentary",English,Chris Bolan,"Alexa L. Fogel, Brendan Mason, Ryan Murphy","Chris Bolan, Alexa L. Fogel",,"Apr 29, 2020",,1h 23m,,,,
Waste Land (2010),51.0,100%,Waste Land (2010),71,PG,Documentary,English,"Lucy Walker, Karen Harley, João Jardim",Angus Aynsley,,"Oct 29, 2010 limited","Mar 15, 2011",$187.7K,1h 38m,Arthouse Films,,,
Citizenfour (2014),52.0,96%,Citizenfour (2014),146,R (Language),Documentary,English,Laura Poitras,"Laura Poitras, Mathilde Bonnefoy, Dirk Wilutzky",,"Oct 24, 2014 limited","Aug 25, 2015",$2.8M,1h 54m,Radius TWC,,,
On the Record (2020),53.0,99%,On the Record (2020),73,,Documentary,English,"Kirby Dick, Amy Ziering","Jamie Rogers, Kirby Dick, Amy Herdy","Kirby Dick, Sara Newens, Amy Ziering",,"May 27, 2020",,1h 35m,,,,
The Interrupters (2011),54.0,99%,The Interrupters (2011),93,,"Drama, Documentary, Crime",English,Steve James,"Steve James, Alex Kotlowitz",Alex Kotlowitz,"Jul 29, 2011 limited","Feb 14, 2012",$250.5K,2h 5m,Cinema Guild,,,
