,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Say Anything... (1989),66.0,98%,Say Anything... (1989),47,PG-13,Romance,English,Cameron Crowe,Polly Platt,Cameron Crowe,"Apr 14, 1989 wide","Mar 5, 2002",$20.0M,1h 40m,20th Century Fox,"Surround, Dolby SR, Dolby A, Dolby Stereo",Flat (1.85:1),
Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),67.0,93%,Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),58,,Mystery & thriller,French (France),Louis Malle,Jean Thuillier,"Noël Calef, Louis Malle, Roger Nimier, Roger Nimier","Jun 10, 1958 original","Apr 25, 2006",$104.8K,1h 30m,"New Yorker Films, Times Film Corporation",Mono,,
Three Colors: Blue (Trois Couleurs: Bleu) (1993),68.0,98%,Three Colors: Blue (Trois Couleurs: Bleu) (1993),46,R,Drama,French (Canada),Krzysztof Kieslowski,Marin Karmitz,,"Dec 3, 1993 original","Mar 4, 2003",$539.2K,1h 37m,,Surround,,
A Girl Walks Home Alone at Night (2014),69.0,96%,A Girl Walks Home Alone at Night (2014),135,,"Drama, Mystery & thriller, Horror",Persian,Ana Lily Amirpour,"Ana Lily Amirpour, Justin Begnaud, Sheri Davani, Sina Sayyah",Ana Lily Amirpour,"Nov 21, 2014 limited","Apr 21, 2015",$299.3K,1h 45m,Kino Lorber,,,
The Half of It (2020),70.0,97%,The Half of It (2020),102,PG-13 (Brief Language|Teen Drinking),"Comedy, Lgbtq+, Romance",English,Alice Wu,"Blair Breard, Anthony Bregman, Alice Wu",Alice Wu,,"May 2, 2020",,1h 45m,,,,
Sense and Sensibility (1995),71.0,97%,Sense and Sensibility (1995),64,PG,"Drama, Comedy, Romance",English,Ang Lee,Lindsay Doran,"Jane Austen, Emma Thompson","Dec 13, 1995 original","Aug 24, 2004",$42.0M,2h 15m,"Columbia Pictures, Columbia TriStar Home Video",Surround,,
My Beautiful Laundrette (1985),72.0,98%,My Beautiful Laundrette (1985),42,R,"Drama, Comedy, Lgbtq+",English,Stephen Frears,"Tim Bevan, Sarah Radclyffe",Hanif Kureishi,"Mar 7, 1986 original","Jun 3, 2003",,1h 37m,Orion Pictures,Mono,,
The Hustler (1961),73.0,96%,The Hustler (1961),47,,Drama,English,Robert Rossen,Robert Rossen,"Sidney Carroll, Robert Rossen, Walter Tevis","Sep 25, 1961 wide","Jun 4, 2002",,2h 15m,"20th Century Fox, Key Video",Mono,Scope (2.35:1),
Four Weddings and a Funeral (1994),74.0,96%,Four Weddings and a Funeral (1994),70,R,"Comedy, Romance",English,Mike Newell,Duncan Kenworthy,Richard Curtis,"Mar 9, 1994 wide","Dec 19, 2000",$49.3M,1h 56m,"MGM/UA Home Entertainment Inc., Gramercy Pictures","Dolby, Surround, Stereo",,
To Catch a Thief (1955),75.0,94%,To Catch a Thief (1955),52,PG (Smoking|Mild Suggestive Material|Some Action Violence),"Mystery & thriller, Comedy, Romance",English,Alfred Hitchcock,Alfred Hitchcock,John Michael Hayes,"Aug 5, 1955 original","Oct 4, 2005",,1h 46m,Paramount Pictures,Mono,"35mm, 1.66:1",
Shakespeare in Love (1998),76.0,92%,Shakespeare in Love (1998),141,R (Sexuality),"Comedy, Romance",English,John Madden,"Marc Norman, Donna Gigliotti, David Parfitt, Harvey Weinstein, Edward Zwick","Tom Stoppard, Marc Norman","Dec 25, 1998 wide","Dec 7, 1999",$100.2M,2h 2m,Miramax Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
Midnight in Paris (2011),77.0,93%,Midnight in Paris (2011),224,PG-13 (Some Sexual References|Smoking),"Fantasy, Comedy, Romance",English,Woody Allen,"Letty Aronson, Stephen Tenenbaum, Jaume Roures",Woody Allen,"Jun 10, 2011 wide","Dec 20, 2011",$56.8M,1h 34m,Sony Pictures Classics,Dolby Digital,,
Foreign Correspondent (1940),78.0,95%,Foreign Correspondent (1940),42,,Mystery & thriller,English,Alfred Hitchcock,,"Charles Bennett, Joan Harrison, Ben Hecht, Robert Benchley, James Hilton","Aug 16, 1940 original","Feb 18, 2014",,1h 59m,United Artists,,,
Manhattan (1979),79.0,94%,Manhattan (1979),69,R,"Drama, Comedy",English,Woody Allen,Charles H. Joffe,"Woody Allen, Marshall Brickman","Mar 14, 1979 original","Jul 5, 2000",,1h 36m,United Artists,Mono,35mm,
Up in the Air (2009),80.0,90%,Up in the Air (2009),288,R (Some Sexual Content|Language),"Drama, Comedy",English,Jason Reitman,"Daniel Dubiecki, Jeffrey Clifford, Ivan Reitman, Jason Reitman","Jason Reitman, Sheldon Turner","Dec 23, 2009 wide","Mar 9, 2010",$83.8M,1h 49m,Paramount Pictures,,,
Daughters of the Dust (1991),81.0,94%,Daughters of the Dust (1991),77,,Drama,English,Julie Dash,Julie Dash,Julie Dash,"Dec 27, 1991 original","Feb 15, 2000",$41.0K,1h 54m,Kino International,Ultra-Stereo,,
Enchanted (2007),82.0,93%,Enchanted (2007),194,PG (Some Scary Images|Mild Innuendo),"Romance, Musical, Fantasy, Kids & family, Comedy",English,Kevin Lima,"Barry Sonnenfeld, Barry Josephson",Bill Kelly,"Nov 21, 2007 wide","Mar 18, 2008",$127.7M,1h 48m,Buena Vista,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
Gloria Bell (2019),83.0,91%,Gloria Bell (2019),206,R (Nudity|Language|Sexuality|Some Drug Use),"Comedy, Romance",English,Sebastián Lelio,"Juan de Dios Larraín, Pablo Larraín, Sebastián Lelio",Sebastián Lelio,"Mar 22, 2019 wide","May 21, 2019",$5.6M,1h 42m,A24,,Scope (2.35:1),
Gilda (1946),84.0,90%,Gilda (1946),70,,"Lgbtq+, Romance",English,Charles Vidor,Virginia Van Upp,Marion Parsonnet,"Mar 15, 1946 wide","Nov 7, 2000",,1h 50m,Columbia Pictures,,,
Dave (1993),85.0,95%,Dave (1993),60,PG-13,Comedy,English,Ivan Reitman,"Ivan Reitman, Lauren Shuler Donner",Gary Ross,"May 7, 1993 original","Jan 2, 2007",$61.0M,1h 50m,"Warner Bros., Argentina Video Home",Surround,,
