,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
God's Own Country (2017),49.0,98%,God's Own Country (2017),130,,"Drama, Lgbtq+, Romance",English (United Kingdom),Francis Lee,"Manon Ardisson, Jack Tarling",Francis Lee,"Oct 25, 2017 limited","May 8, 2018",$281.5K,1h 44m,"Samuel Goldwyn Films, Orion Pictures",,Flat (1.85:1),
Playtime (1973),50.0,98%,Playtime (1973),51,,Comedy,French (Canada),Jacques Tati,Bernard Maurice,"Art Buchwald, Jacques Lagrange, Jacques Tati","Jun 27, 1973 wide","Sep 5, 2006",,1h 33m,Criterion Collection,Magnetic Stereo 6 Track,,
Ran (1985),51.0,96%,Ran (1985),89,R,"Drama, History",Japanese,Akira Kurosawa,"Masato Hara, Serge Silberman","Masato Ide, Akira Kurosawa, Hideo Oguni, William Shakespeare","Jun 1, 1985 original","Nov 22, 2005",$454.0K,2h 40m,Orion Pictures,"Magnetic Stereo 4 Track, Dolby Stereo, Surround",Scope (2.35:1),
A Fistful of Dollars (Per un Pugno di Dollari) (1964),52.0,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51,R,Western,Italian,Sergio Leone,"Arrigo Colombo, Giorgio Papi",Adriano Bolzoni,"Jan 18, 1964 wide","Aug 1, 2006",,1h 36m,"Unidis, MGM/UA Home Entertainment Inc., Ízaro Films S.A., Tobis Filmkunst, Metro-Goldwyn-Mayer Distributing Corp., Metro-Goldwyn-Mayer, United Artists",Mono,,
Sugar Cane Alley (Rue Cases Negres) (1984),53.0,100%,Sugar Cane Alley (Rue Cases Negres) (1984),40,PG,"Drama, Comedy",French (Canada),Euzhan Palcy,"Michel Loulergue, Jean-Luc Ormières, Alix Régis","Euzhan Palcy, Joseph Zobel","Sep 21, 1983 original",,,1h 45m,"Orion Pictures, New Yorker Films",,,
Loveless (Nelyubov) (2018),54.0,95%,Loveless (Nelyubov) (2018),186,R (Graphic Nudity|A Brief Disturbing Image|Language|Strong Sexuality),Drama,Russian,Andrey Zvyagintsev,"Gleb Fetisov, Sergey Melkumov, Alexander Rodnyansky","Oleg Negin, Andrey Zvyagintsev","Feb 16, 2018 limited","Jun 12, 2018",$564.1K,2h 7m,Sony Pictures Classics,Dolby Digital,Scope (2.35:1),
Grave of the Fireflies (Hotaru no haka) (1988),55.0,100%,Grave of the Fireflies (Hotaru no haka) (1988),40,,"Drama, Anime, War",Japanese,Isao Takahata,Toru Hara,Isao Takahata,,"Mar 11, 2017",,1h 28m,,,,
GETT: The Trial of Viviane Amsalem (2015),56.0,100%,GETT: The Trial of Viviane Amsalem (2015),80,,Drama,Hebrew,"Ronit Elkabetz, Shlomi Elkabetz","Sandrine Brauer, Rémi Burah, Denis Carot, Michael Eckelt, Shlomi Elkabetz, Marie Masmonteil","Ronit Elkabetz, Shlomi Elkabetz","Feb 15, 2015 limited","Jun 9, 2015",$987.8K,1h 55m,Music Box Films,,,
The Seventh Seal (Det Sjunde inseglet) (1957),57.0,94%,The Seventh Seal (Det Sjunde inseglet) (1957),63,,"Drama, Fantasy",Swedish,Ingmar Bergman,Allan Ekelund,Ingmar Bergman,"Oct 13, 1956 original","Dec 4, 2007",,1h 36m,"Criterion Collection, Embassy Pictures, Janus Films",Mono,,
Toni Erdmann (2016),58.0,93%,Toni Erdmann (2016),242,R (Graphic Nudity|Brief Drug Use|Language|Strong Sexual Content),"Comedy, Drama",German,Maren Ade,"Janine Jackowski, Maren Ade, Jonas Dornbach",Maren Ade,"Dec 25, 2016 limited","Apr 11, 2017",$1.5M,2h 42m,Sony Pictures Classics,,,
