,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Invasion of the Body Snatchers (1978),68.0,92%,Invasion of the Body Snatchers (1978),61,PG,Sci-fi,English,Philip Kaufman,Robert H. Solo,"Jack Finney, W.D. Richter","Dec 22, 1978 original","Sep 5, 2006",,1h 55m,United Artists,"Surround, Stereo, Dolby",35mm,
The Host (2007),69.0,93%,The Host (2007),155,R (Language|Creature Violence),"Comedy, Horror",Korean,Bong Joon Ho,,"Bong Joon Ho, Baek Cheol-hyeon, Ha Junwon","Mar 9, 2007 limited","Jul 24, 2007",$2.2M,1h 59m,Magnolia Films,Dolby SRD,Flat (1.85:1),
Dawn of the Dead (1979),70.0,94%,Dawn of the Dead (1979),48,,Horror,English,George A. Romero,,,,"Mar 16, 2004",,2h 6m,,,,
It Comes At Night (2017),71.0,87%,It Comes At Night (2017),257,R (Language|Disturbing Images|Violence),"Mystery & thriller, Horror",English,Trey Edward Shults,"David Kaplan, Andrea Roa",Trey Edward Shults,"Jun 9, 2017 wide","Sep 12, 2017",$14.0M,1h 37m,A24,,Scope (2.35:1),
Zombieland (2009),72.0,89%,Zombieland (2009),259,R (Zombie Horror Violence/Gore|Language),"Comedy, Horror",English,Ruben Fleischer,Gavin Polone,"Rhett Reese, Paul Wernick","Oct 2, 2009 wide","Feb 2, 2010",$75.6M,1h 27m,Sony Pictures Entertainment,"Dolby Digital, DTS, SDDS",Scope (2.35:1),
In Fabric (2019),73.0,91%,In Fabric (2019),160,R (Strong Sexual Content|Some Bloody Images|A Scene of Aberrant Behavior),"Comedy, Horror",English (United Kingdom),Peter Strickland,Andrew Starke,Peter Strickland,"Dec 6, 2019 limited","Nov 19, 2019",$25.0K,1h 58m,A24,,Scope (2.35:1),
Don't Breathe (2016),74.0,88%,Don't Breathe (2016),242,R (Language|Disturbing Content|Sexual References|Terror|Violence),"Mystery & thriller, Horror",English,Fede Alvarez,"Sam Raimi, Rob Tapert, Fede Alvarez","Fede Alvarez, Rodo Sayagues Mendez","Aug 26, 2016 wide","Nov 29, 2016",$89.2M,1h 28m,Sony Pictures Entertainment,Dolby Digital,Scope (2.35:1),
The Mortuary Collection (2019),75.0,95%,The Mortuary Collection (2019),66,,"Fantasy, Horror",English,Ryan Spindell,"Allison Friedman, T. Justin Ross, Ryan Spindell",Ryan Spindell,,"Oct 15, 2020",,1h 50m,,,,
Phantom of the Opera (1925),76.0,90%,Phantom of the Opera (1925),51,,Horror,,Rupert Julian,Carl Laemmle,"Gaston Leroux, Bernard McConville","Sep 6, 1925 wide","Feb 16, 1999",,1h 33m,Universal Pictures,,,
The Endless (2018),77.0,92%,The Endless (2018),131,,"Mystery & thriller, Sci-fi, Horror",English,"Aaron Moorhead, Justin Benson","David Lawson Jr., Justin Benson, Aaron Moorhead, Thomas R. Burke, Leal Naim",Justin Benson,"Apr 6, 2018 limited","Jun 26, 2018",$270.6K,1h 51m,Well Go USA,,Scope (2.35:1),
What Ever Happened to Baby Jane? (1962),78.0,92%,What Ever Happened to Baby Jane? (1962),50,,"Mystery & thriller, Horror",English,Robert Aldrich,Robert Aldrich,"Lukas Heller, Henry Farrell","Oct 31, 1962 wide","May 30, 2006",,2h 12m,"Warner Home Vídeo, Warner Bros.",Mono,Flat (1.37:1),
CAM (2018),79.0,93%,CAM (2018),102,,"Mystery & thriller, Horror",English,Daniel Goldhaber,"Greg Gilreath, Adam Hendricks, John H. Lang, Isabelle Link-Levy",Isa Mazzei,,"Nov 16, 2018",,1h 34m,,,,
The Mummy (1932),80.0,89%,The Mummy (1932),44,,Horror,English,Karl Freund,Carl Laemmle Jr.,"Nina Wilcox Putnam, Richard Schayer, John L. Balderston","Dec 22, 1932 original","Sep 28, 1999",,1h 12m,"MCA/Universal Pictures [us], Screen Gems, Universal Studios Inc., Universal Home Entertainment, Universal Pictures, Realart Pictures Inc.",Mono,Flat (1.37:1),
The Wolf Man (1941),81.0,90%,The Wolf Man (1941),41,,Horror,English,George Waggner,George Waggner,Curt Siodmak,"Dec 12, 1941 original","Nov 2, 1999",,1h 10m,"Film Classics Inc., Universal Pictures, MCA/Universal Pictures [us], Screen Gems",,Flat (1.37:1),
The Thing from Another World (1951),82.0,86%,The Thing from Another World (1951),66,,Sci-fi,English,Christian Nyby,Howard Hawks,Charles Lederer,,"Aug 5, 2003",,1h 27m,,,,
We Are Still Here (2015),83.0,95%,We Are Still Here (2015),44,,Horror,English,Ted Geoghegan,"Eben Kostbar, Travis Stevens",Ted Geoghegan,,"Oct 13, 2015",,1h 24m,,,,
Upgrade (2018),84.0,88%,Upgrade (2018),193,R (Language|Grisly Images|Strong Violence),"Horror, Sci-fi, Action",English,Leigh Whannell,"Jason Blum, Kylie Du Fresne, Brian Kavanaugh-Jones",Leigh Whannell,"Jun 1, 2018 wide","Aug 14, 2018",$11.8M,1h 35m,BH Tilt,,,
Eraserhead (1977),85.0,90%,Eraserhead (1977),62,,Horror,English,David Lynch,David Lynch,David Lynch,"Mar 17, 1977 original","Jan 10, 2006",,1h 30m,,Surround,,
