,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
A Bug's Life (1998),79.0,92%,A Bug's Life (1998),89,G,"Kids & family, Adventure, Comedy, Animation",English,"John Lasseter, Andrew Stanton","Darla K. Anderson, Kevin Reher","John Lasseter, Andrew Stanton, Joe Ranft, Don McEnery, Bob Shaw, Geefwee Boedoe, Jason Katz, Jørgen Klubien, Robert Lence, David Reynolds","Nov 14, 1998 original","Nov 6, 2001",$162.8M,1h 36m,"Buena Vista International [us], Buena Vista Pictures","SDDS, Dolby Digital, DTS, Surround",,Pixar
Willy Wonka and the Chocolate Factory (1971),80.0,91%,Willy Wonka and the Chocolate Factory (1971),54,G,"Kids & family, Fantasy",English,Mel Stuart,"Stan Margulies, David L. Wolper","Roald Dahl, Roald Dahl","Jan 1, 1971 wide","Jun 21, 2005",,1h 38m,Paramount Pictures,Stereo,Flat (1.85:1),
Ponyo (2009),81.0,91%,Ponyo (2009),172,G,"Fantasy, Anime, Adventure",Japanese,Hayao Miyazaki,Toshio Suzuki,"Melissa Mathison, Hayao Miyazaki","Aug 14, 2009 wide","Mar 2, 2010",$15.1M,1h 40m,Walt Disney,"Dolby Digital Surround EX, Dolby Digital",Flat (1.85:1),
How Green Was My Valley (1941),82.0,89%,How Green Was My Valley (1941),47,,Drama,English,John Ford,Darryl F. Zanuck,Philip Dunne,"Dec 27, 1941 wide","Mar 7, 2000",,1h 58m,20th Century Fox,Mono,Flat (1.37:1),
Klaus (2019),83.0,94%,Klaus (2019),70,PG (Rude Humor and Mild Action),"Animation, Other, Kids & family, Adventure, Comedy",English,Sergio Pablos,"Jinko Gotoh, Sergio Pablos, Matthew Teevan, Mercedes Gamero, Mikel Lejarza, Gustavo Ferrada","Sergio Pablos, Zach Lewis, Jim Mahoney","Nov 8, 2019 limited","Nov 15, 2019",,1h 38m,Netflix,,Flat (1.85:1),
Teen Titans Go! To the Movies (2018),84.0,91%,Teen Titans Go! To the Movies (2018),133,PG (Action and Rude Humor),"Animation, Action, Kids & family, Adventure, Comedy",English,"Peter Rida Michail, Aaron Horvath","Aaron Horvath, Michael Jelenic, Peggy Regan, Peter Rida Michail, Will Arnett","Michael Jelenic, Aaron Horvath","Jul 27, 2018 wide","Oct 30, 2018",$29.6M,1h 27m,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital, DTS, SDDS",Flat (1.85:1),
That Thing You Do! (1996),85.0,93%,That Thing You Do! (1996),60,PG,"Drama, Comedy",English,Tom Hanks,"Gary Goetzman, Jonathan Demme, Edward Saxon",Tom Hanks,"Oct 4, 1996 original","May 8, 2007",$25.9M,1h 50m,20th Century Fox,Surround,,
Tangled (2010),86.0,89%,Tangled (2010),227,PG (Brief Mild Violence),"Musical, Fantasy, Adventure, Animation, Kids & family, Comedy",English,"Nathan Greno, Byron Howard",Roy Conli,Dan Fogelman,"Nov 24, 2010 wide","Mar 29, 2011",$200.8M,1h 41m,Walt Disney,"Dolby Digital, DTS, SDDS",,
Shrek 2 (2004),87.0,89%,Shrek 2 (2004),237,PG (Some Crude Humor|A Brief Substance Reference|Some Suggestive Content),"Kids & family, Comedy, Fantasy, Animation",English,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Aron Warner, David Lipman, John H. Williams","Andrew Adamson, J. David Stem, Joe Stillman, David N. Weiss, William Steig","May 19, 2004 wide","Nov 5, 2004",$436.5M,1h 32m,DreamWorks SKG,"Surround, Dolby SRD, DTS, SDDS",Flat (1.85:1),
ParaNorman (2012),88.0,89%,ParaNorman (2012),186,PG (Scary Action|Language|Scary Images|Some Rude Humor|Thematic Elements),"Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Chris Butler, Sam Fell","Arianne Sutner, Travis Knight",Chris Butler,"Aug 17, 2012 wide","Nov 27, 2012",,1h 36m,Focus Features,"SDDS, Dolby SRD, DTS, Dolby Atmos, Dolby Digital, Dolby SR",Scope (2.35:1),
The Witches (1990),89.0,93%,The Witches (1990),43,PG,"Kids & family, Adventure, Fantasy",English,Nicolas Roeg,Mark Shivas,"Allan Scott, Roald Dahl","Feb 16, 1990 wide","Jun 22, 1999",$8.7M,1h 31m,"Warner Bros. Pictures, Warner Home Vídeo","Dolby, Surround",,
First Position (2012),90.0,93%,First Position (2012),76,,Documentary,English,Bess Kargman,Bess Kargman,,"May 4, 2012 limited","Oct 30, 2012",$894.5K,1h 30m,IFC Films,,,
Shrek (2001),91.0,88%,Shrek (2001),210,PG (Some Crude Humor|Mild Language),"Kids & family, Comedy, Fantasy, Animation",English,"Andrew Adamson, Vicky Jenson","Aron Warner, John H. Williams, Jeffrey Katzenberg","Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman, William Steig","May 18, 2001 wide","Aug 19, 2003",$267.7M,1h 29m,DreamWorks SKG,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),
James and the Giant Peach (1996),92.0,91%,James and the Giant Peach (1996),75,PG,"Kids & family, Fantasy, Animation",English,Henry Selick,"Tim Burton, Denise Di Novi","Roald Dahl, Karey Kirkpatrick, Jonathan Roberts, Steve Bloom","Apr 12, 1996 original","Aug 3, 2010",$28.9M,1h 20m,Buena Vista Pictures,Surround,,
Rango (2011),93.0,88%,Rango (2011),222,PG (Language|Action|Rude Humor|Smoking),"Kids & family, Adventure, Comedy, Animation",English,Gore Verbinski,"Gore Verbinski, Graham King, John B. Carls",John Logan,"Mar 4, 2011 wide","Jul 15, 2011",,1h 45m,Paramount Pictures,,,
A Christmas Story (1983),94.0,90%,A Christmas Story (1983),58,PG,"Kids & family, Comedy, Other",English,Bob Clark,"Bob Clark, René Dupont","Leigh Brown, Bob Clark, Jean Shepherd, Jean Shepherd","Nov 18, 1983 wide","Nov 4, 2008",$20.7M,1h 33m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
Lassie (2006),95.0,93%,Lassie (2006),70,PG (Some Mild Violent Content|Language),"Kids & family, Adventure",English,Charles Sturridge,"Ed Guiney, Francesca Barra, Charles Sturridge",Charles Sturridge,,"Nov 14, 2006",$651.4K,1h 40m,,,,
Duma (2005),96.0,93%,Duma (2005),61,PG (Mild Adventure Peril),"Kids & family, Adventure",English,Carroll Ballard,,"Carol Flint, Karen Janszen","Sep 30, 2005 original","May 16, 2006",$860.0K,1h 40m,Warner Bros. Pictures,,,
The Peanuts Movie (2015),97.0,87%,The Peanuts Movie (2015),197,G,"Kids & family, Adventure, Comedy, Animation",English,Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano, Paul Feig, Michael J. Travers","Craig Schulz, Bryan Schulz, Cornelius Uliano","Nov 6, 2015 wide","Mar 8, 2016",$130.1M,1h 29m,20th Century Fox,Dolby Atmos,Flat (1.85:1),
Kung Fu Panda (2008),98.0,87%,Kung Fu Panda (2008),190,PG (Martial Arts Action),"Kids & family, Adventure, Comedy, Animation",English,"John Stevenson, Mark Osborne",Melissa Cobb,"Jonathan Aibel, Glenn Berger","Jun 6, 2008 wide","Nov 7, 2008",$143.5M,1h 31m,DreamWorks SKG,,,Kung Fu Panda
Wreck-it Ralph (2012),99.0,87%,Wreck-it Ralph (2012),189,PG (Some Rude Humor|Mild Action/Violence),"Kids & family, Adventure, Comedy, Animation",English,Rich Moore,Clark Spencer,"Phil Johnston, Jennifer Lee","Nov 2, 2012 wide","Mar 5, 2013",$189.4M,1h 41m,Walt Disney,"Datasat, Dolby Digital",,
Sleeping Beauty (1959),100.0,89%,Sleeping Beauty (1959),46,G,"Kids & family, Fantasy, Animation",English,Clyde Geronimi,Walt Disney,"Charles Perrault, Erdman Penner, Joe Rinaldi, Winston Hibler, Bill Peet, Ted Sears, Ralph Wright, Milt Banta","Jan 29, 1959 original","Sep 24, 2019",$11.6M,1h 15m,Buena Vista Pictures,Magnetic Stereo 6 Track,,
