,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
His Girl Friday (1940),11.0,99%,His Girl Friday (1940),100,,Comedy,English,Howard Hawks,Howard Hawks,"Ben Hecht, Charles MacArthur, Charles Lederer","Jan 11, 1940 original","Nov 21, 2000",,1h 32m,Columbia Pictures,Mono,35mm,
A Night at the Opera (1935),12.0,97%,A Night at the Opera (1935),70,,Comedy,English,Sam Wood,,,"Nov 15, 1935 original","May 4, 2004",,1h 33m,Metro-Goldwyn-Mayer,,,
The Third Man (1949),13.0,99%,The Third Man (1949),86,,Mystery & thriller,English,Carol Reed,"Alexander Korda, Carol Reed, David O. Selznick","Graham Greene, Alexander Korda, Graham Greene","Feb 1, 1949 wide","Oct 28, 2008",$447.0K,1h 44m,"Vintage Video, Selznick International Pictures, Spiegel Media GmbH, Continental Home Vídeo [br], British Lion Films Ltd., Warner Home Vídeo",Mono,Flat (1.37:1),
Rear Window (1954),14.0,98%,Rear Window (1954),122,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","Sep 1, 1954 wide","Sep 7, 2004",$1.6M,1h 52m,Paramount Pictures,,Flat (1.37:1),
Seven Samurai (Shichinin no Samurai) (1956),15.0,100%,Seven Samurai (Shichinin no Samurai) (1956),88,,Action,Japanese,Akira Kurosawa,Sojiro Motoki,"Shinobu Hashimoto, Akira Kurosawa, Hideo Oguni","Nov 19, 1956 wide","Sep 5, 2006",$271.7K,3h 28m,Columbia Pictures,Mono,Flat (1.37:1),
La Grande illusion (Grand Illusion) (1938),16.0,97%,La Grande illusion (Grand Illusion) (1938),68,,"Drama, War",French (Canada),Jean Renoir,"Albert Pinkovitch, Frank Rollmer",,"Sep 12, 1937 wide","Nov 23, 1999",$516.5K,1h 57m,"Home Vision Entertainment, Barr Entertainment",,,
Singin' in the Rain (1952),17.0,100%,Singin' in the Rain (1952),67,G,"Musical, Comedy",English,"Stanley Donen, Gene Kelly",Arthur Freed,"Betty Comden, Adolph Green","Apr 10, 1952 wide","Sep 24, 2002",$23.9K,1h 42m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
All Quiet on the Western Front (1930),18.0,98%,All Quiet on the Western Front (1930),81,,War,English,Lewis Milestone,Carl Laemmle Jr.,"Erich Maria Remarque, George Abbott, Del Andrews, Maxwell Anderson, Maxwell Anderson, Lewis Milestone","Aug 24, 1930 original","Feb 6, 2007",,1h 45m,Universal Pictures,,,
Snow White and the Seven Dwarfs (1937),19.0,98%,Snow White and the Seven Dwarfs (1937),54,G,"Kids & family, Fantasy, Animation",English,David Hand,Walt Disney,"Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Webb Smith",,"Nov 16, 2004",,1h 20m,,Stereo,,
On the Waterfront (1954),20.0,99%,On the Waterfront (1954),107,,Drama,English,Elia Kazan,Sam Spiegel,"Budd Schulberg, Budd Schulberg","Jul 28, 1954 original","Oct 23, 2001",,1h 48m,Columbia Pictures,Mono,35mm,
An American in Paris (1951),21.0,96%,An American in Paris (1951),94,,"Musical, Romance",English,Vincente Minnelli,Arthur Freed,Alan Jay Lerner,"Nov 9, 1951 wide","Dec 2, 2004",,1h 53m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
The Best Years of Our Lives (1946),22.0,98%,The Best Years of Our Lives (1946),91,,Drama,English,William Wyler,Samuel Goldwyn,"MacKinlay Kantor, Robert E. Sherwood","Nov 21, 1946 wide","Jul 18, 2000",,2h 52m,RKO Radio Pictures,Mono,Flat (1.37:1),
Metropolis (1927),23.0,97%,Metropolis (1927),135,,"Drama, Sci-fi",German,Fritz Lang,Erich Pommer,"Fritz Lang, Thea von Harbou, Thea von Harbou","Mar 13, 1927 original","Mar 22, 2007",$1.2M,2h 3m,Paramount Pictures,"Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Flat (1.85:1),
The Kid (1921),24.0,100%,The Kid (1921),49,,"Drama, Comedy",English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jan 21, 1921 original","May 1, 2005",,1h 0m,,,,
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",25.0,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",69,,"Fantasy, Horror",German,F.W. Murnau,"Enrico Dieckmann, Albin Grau","Henrik Galeen, Bram Stoker","Mar 5, 1922 original","Jan 2, 2001",,1h 5m,"Image Entertainment Inc., Republic Pictures, Hollywood's Attic, GoodTimes Home Video [us], Sinister Cinema, Grapevine Video, Video Yesteryear, Reel Media International [us], BijouFlix Releasing, Kino Video",,"Academy (1.33:1), 35mm",
The Adventures of Robin Hood (1938),26.0,100%,The Adventures of Robin Hood (1938),48,PG,"Adventure, Action",English,"Michael Curtiz, William Keighley",Hal B. Wallis,"Norman Reilly Raine, Seton I. Miller","Feb 11, 1938 wide","Sep 30, 2003",,1h 42m,Warner Bros. Pictures,Mono,Flat (1.37:1),
North by Northwest (1959),27.0,97%,North by Northwest (1959),109,,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,Ernest Lehman,"Jul 17, 1959 wide","Nov 3, 2009",,2h 16m,Metro-Goldwyn-Mayer,Mono,Flat (1.66:1),
Laura (1944),28.0,100%,Laura (1944),65,,Mystery & thriller,English,Otto Preminger,Otto Preminger,"Jay Dratler, Samuel Hoffenstein, Elizabeth Reinhardt","Oct 11, 1944 original","Mar 15, 2005",,1h 28m,,,,
King Kong (1933),29.0,98%,King Kong (1933),66,,"Fantasy, Adventure",English,"Merian C. Cooper, Ernest B. Schoedsack","Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose","Mar 2, 1933 original","Nov 22, 2005",,1h 40m,RKO Radio Pictures,,,
Shadow of a Doubt (1943),30.0,100%,Shadow of a Doubt (1943),49,PG,"Drama, Mystery & thriller, Crime",English,Alfred Hitchcock,Jack H. Skirball,"Gordon McDonell, Thornton Wilder, Sally Benson, Alma Reville","Jan 1, 1943 wide","Oct 4, 2005",,1h 48m,Universal Pictures,Mono,Flat (1.37:1),
Psycho (1960),31.0,96%,Psycho (1960),105,R,"Mystery & thriller, Horror",English,Alfred Hitchcock,Alfred Hitchcock,"Robert Bloch, Joseph Stefano","Jun 16, 1960 original","Oct 4, 2005",,1h 49m,Paramount Pictures,Mono,,
A Hard Day's Night (1964),32.0,98%,A Hard Day's Night (1964),112,G,"Musical, Comedy",English,Richard Lester,Walter Shenson,Alun Owen,"Aug 11, 1964 wide","Sep 24, 2002",,1h 23m,Miramax Films,"Stereo, Surround",Flat (1.66:1),
The Bridge on the River Kwai (1957),33.0,96%,The Bridge on the River Kwai (1957),93,PG,"Drama, War",English,David Lean,Sam Spiegel,"Pierre Boulle, Michael Wilson, Carl Foreman","Dec 18, 1957 wide","Nov 21, 2000",,2h 41m,Columbia Pictures,"Surround, Mono, Magnetic Stereo 6 Track, Stereo",Scope (2.35:1),
Top Hat (1935),34.0,100%,Top Hat (1935),42,,"Musical, Romance",English,Mark Sandrich,Pandro S. Berman,"Aladar Laszlo, Károly Nóti, Allan Scott, Dwight Taylor","Sep 6, 1935 wide","Aug 16, 2005",,1h 39m,RKO Radio Pictures,Mono,Flat (1.37:1),
The Bride of Frankenstein (1935),35.0,98%,The Bride of Frankenstein (1935),47,,Horror,English,James Whale,Carl Laemmle Jr.,"William Hurlbut, John L. Balderston, Mary Shelley","Apr 22, 1935 wide","Aug 28, 2001",,1h 15m,"Realart Pictures Inc., Universal International Pictures, MCA/Universal Pictures [us], Universal Pictures, Film Classics Inc., Universal Home Entertainment",Mono,,
12 Angry Men (Twelve Angry Men) (1957),36.0,100%,12 Angry Men (Twelve Angry Men) (1957),58,,Drama,English,Sidney Lumet,"Henry Fonda, Reginald Rose",Reginald Rose,"Apr 20, 1957 original","Mar 4, 2008",,1h 35m,"Metro-Goldwyn-Mayer, MGM/UA Home Entertainment Inc., United Artists, Criterion Collection",,,
Marty (1955),37.0,99%,Marty (1955),70,,Drama,English,Delbert Mann,Harold Hecht,"Paddy Chayefsky, Paddy Chayefsky","May 21, 1955 wide","Oct 5, 2010",,1h 31m,United Artists,Mono,Flat (1.37:1),
The Lady Eve (1941),38.0,100%,The Lady Eve (1941),48,,"Comedy, Romance",English,Preston Sturges,Paul Jones,"Monckton Hoffe, Preston Sturges","Feb 25, 1941 original","Oct 16, 2001",,1h 37m,"Criterion Collection, Paramount Pictures",Mono,"35mm, Flat (1.37:1)",
The Treasure of the Sierra Madre (1948),39.0,100%,The Treasure of the Sierra Madre (1948),52,,"Drama, Adventure, Western",English,John Huston,Henry Blanke,"B. Traven, John Huston","Jan 6, 1948 original","Sep 30, 2003",,2h 4m,"Warner Bros. Pictures, MGM/UA Home Entertainment Inc.",,,
Lawrence of Arabia (1962),40.0,94%,Lawrence of Arabia (1962),124,PG,"Drama, Adventure, Biography, History",English,David Lean,"Robert A. Harris, Sam Spiegel","Robert Bolt, Michael Wilson","Dec 16, 1962 original","Apr 3, 2001",$6.0M,3h 36m,"Columbia Tristar, RCA Home Video, Criterion Collection, Columbia TriStar Home Video",Surround,,
Chinatown (1974),41.0,99%,Chinatown (1974),76,R,"Drama, Crime",English,Roman Polanski,Robert Evans,"Robert Towne, Roman Polanski","Jun 20, 1974 original","Nov 23, 1999",,2h 11m,Paramount Pictures,Mono,,
The Lady Vanishes (1938),42.0,98%,The Lady Vanishes (1938),45,,Mystery & thriller,English (United Kingdom),Alfred Hitchcock,Edward Black,"Ethel Lina White, Sidney Gilliat, Frank Launder","Nov 1, 1938 wide","Jul 25, 2000",,1h 37m,"Gaumont British Distributors, Criterion Collection, Metro-Goldwyn-Mayer Distributing Corp.",Mono,35mm,
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),43.0,98%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),93,PG,Comedy,English,Stanley Kubrick,Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George","Jan 29, 1964 wide","Oct 21, 2003",,1h 33m,Columbia Pictures,Mono,Flat (1.85:1),
All the King's Men (1949),44.0,97%,All the King's Men (1949),70,,Drama,English,Robert Rossen,Robert Rossen,Robert Rossen,"Nov 8, 1949 wide","Jun 5, 2001",,1h 49m,Columbia Pictures,Mono,Flat (1.37:1),
