,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Crumb (1995),91.0,95%,Crumb (1995),42,R,Documentary,English,Terry Zwigoff,"Terry Martinelli, Lynn O'Donnell, David Lynch",,"Apr 21, 1994 original","Mar 9, 1999",$19.9K,1h 59m,"Sony Pictures Classics, Columbia Tristar",,,
The Last of the Unjust (2014),92.0,96%,The Last of the Unjust (2014),48,PG-13 (Some Thematic Material),"Biography, Documentary",German,Claude Lanzmann,"David Frenkel, Danny Krausz, Jean Labadie, Kurt Stocker",Claude Lanzmann,,"Sep 30, 2014",$38.4K,3h 38m,,,,
Good Hair (2009),93.0,95%,Good Hair (2009),84,PG-13 (Sex and Drug References|Brief Partial Nudity|Some Language),Documentary,English,Jeff Stilson,"Chris Rock, Kevin O'Donnell, Jenny Hunter","Chris Rock, Jeff Stilson, Lance Crouther, Chuck Sklar","Oct 9, 2009 limited","Feb 16, 2010",$4.2M,1h 35m,Roadside Attractions,,,
The Devil Came on Horseback (2007),94.0,96%,The Devil Came on Horseback (2007),54,,Documentary,Arabic,"Ricki Stern, Anne Sundberg","Eileen Haag, Ira Lechner","Ricki Stern, Anne Sundberg","Jul 25, 2007 limited","Oct 30, 2007",$132.3K,1h 28m,International Film Circuit [us],,,
Up the Yangtze (2007),95.0,96%,Up the Yangtze (2007),53,,Documentary,English,Yung Chang,,Yung Chang,"Apr 25, 2008 limited","Oct 7, 2008",$783.4K,1h 33m,Zeitgeist,,,
5 Broken Cameras (2012),96.0,96%,5 Broken Cameras (2012),48,,"Documentary, War",Hebrew,"Emad Burnat, Guy Davidi","Emad Burnat, Guy Davidi",,"May 3, 2012 limited","Jan 15, 2013",$108.5K,1h 30m,Kino Lorber,,,
National Gallery (2014),97.0,95%,National Gallery (2014),66,,Documentary,English,Frederick Wiseman,"Pierre-Olivier Bardet, Frederick Wiseman",,,,$100.1K,3h 0m,,,,
Plagues & Pleasures on the Salton Sea (2004),98.0,96%,Plagues & Pleasures on the Salton Sea (2004),53,,Documentary,English,"Chris Metzler, Jeff Springer",,,"Feb 24, 2006 limited","Aug 11, 2009",,1h 13m,Tilapia Film,,,
Last Days in Vietnam (2014),99.0,95%,Last Days in Vietnam (2014),62,,"Drama, History, Documentary, War",English,Rory Kennedy,"Rory Kennedy, Kevin Mcalester","Mark Bailey, Keven McAlester","Sep 5, 2014 limited","Jul 7, 2015",$408.7K,1h 38m,American Experience,,,
Super Size Me (2004),100.0,92%,Super Size Me (2004),171,PG-13 (Language|Graphic Medical Procedure|Sex and Drug References),Documentary,English,Morgan Spurlock,Morgan Spurlock,Morgan Spurlock,"May 7, 2004 wide","Sep 28, 2004",$11.5M,1h 38m,Samuel Goldwyn Company,,,
